"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterLevel_ReferencePoint","WaterLevel_ReferenceHeight","WaterLevel_MeasuringMethod","WaterLevel_WaterLevelStatus","WaterLevel_PiezometerNumber","WaterLevel_MeasurementDateAndTime","WaterLevel_WaterLevel"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837",,,"Dip Meter","Static Water Level",,"1990-07-04 07:57:00","16.68"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356",,,,"Static Water Level",,"1991-11-08 08:00:00","44.26"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356",,,,"Static Water Level",,"1991-11-25 08:00:00","43.68"
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843",,,"Dip Meter","Static Water Level",,"1990-07-04 07:59:00","16.45"
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131",,,,,,"1988-08-31 08:26:00","21.20"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662",,,,"Static Water Level",,"1991-11-25 08:00:00","12.00"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"1998-09-04 12:00:00","12.10"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-02-15 12:00:00","10.06"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-03-15 12:00:00","10.06"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-03-16 12:00:00","8.79"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-05-02 12:00:00","7.50"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-06-15 12:00:00","7.60"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-08-15 12:00:00","7.90"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-09-15 12:00:00","8.15"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-10-15 12:00:00","7.90"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-11-15 12:00:00","8.16"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2000-12-15 12:00:00","8.19"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-01-15 12:00:00","10.27"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-02-15 12:00:00","10.20"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-03-15 12:00:00","10.27"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-05-15 12:00:00","7.22"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-06-15 12:00:00","7.20"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-07-15 12:00:00","7.23"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-08-15 12:00:00","7.92"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-09-15 12:00:00","7.88"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-10-15 12:00:00","8.33"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-11-15 12:00:00","8.33"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2001-12-15 12:00:00","8.32"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-01-15 12:00:00","8.30"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-02-15 12:00:00","8.33"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-04-15 12:00:00","8.35"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-05-15 12:00:00","8.37"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-06-15 12:00:00","8.44"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-08-15 12:00:00","8.45"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-09-15 12:00:00","8.52"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2003-11-15 12:00:00","8.56"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-01-15 12:00:00","8.59"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-02-15 12:00:00","13.35"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-04-15 12:00:00","12.50"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-06-15 12:00:00","12.53"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-07-15 12:00:00","13.17"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-08-15 12:00:00","12.19"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Static Water Level",,"2004-09-15 12:00:00","12.10"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834",,,"Dip Meter","Suspect Data",,"1999-12-15 12:00:00","14.82"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001",,,,,,,
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001",,,,,,,
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585",,,,,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616",,,,,,,
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957",,,"Dip Meter","Static Water Level",,"1984-01-01 12:15:00","17.00"
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368",,,,,,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354",,,"Dip Meter","Static Water Level",,"2001-06-07 12:00:00","1.20"
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770",,,,,,"1988-08-18 10:15:00","14.79"
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603",,,,,,,
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631",,,,,,"1988-08-31 07:48:00","4.97"
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402",,,,,,,
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249",,,"Dip Meter","Static Water Level",,"1990-07-03 13:12:00","14.20"
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050",,,,,,,
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465",,,,,,,
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444",,,"Dip Meter","Static Water Level",,"1990-07-04 11:03:00","17.96"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230",,,,"Static Water Level",,"1992-03-24 08:00:00","13.00"
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425",,,,"Static Water Level",,"1984-01-01 08:00:00","13.00"
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429",,,,"Static Water Level",,"1991-11-26 08:00:00","13.83"
"Dept Water - Pretoria","2525DA00096","Borehole","-25.56063","25.72209",,,,"Static Water Level",,"1992-03-16 08:00:00","17.00"
"Dept Water - Pretoria","2525DB00087","Borehole","-25.56031","25.94270",,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342",,,"Dip Meter","Static Water Level",,"1998-09-10 12:00:00","22.74"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342",,,"Dip Meter","Static Water Level",,"2000-03-16 12:00:00","18.06"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Casing Collar","0.65","Dip Meter","Static Water Level",,"2015-08-27 15:37:00","24.99"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2011-03-04 15:00:00","11.94"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2011-06-21 15:50:00","11.56"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2011-09-28 14:33:00","11.41"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2012-02-28 14:42:00","16.00"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2012-09-12 13:42:00","19.51"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2012-12-05 13:44:00","20.86"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Concrete Block",,"Dip Meter","Static Water Level",,"2013-06-26 15:22:00","22.67"
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636",,,,,,"1965-08-31 08:00:00","16.46"
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635",,,,,,"1956-11-01 08:00:00","24.38"
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636",,,,,,"1956-11-17 08:00:00","21.34"
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467",,,,,,"1966-07-29 08:00:00","10.06"
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468",,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634",,,,,,"1910-10-12 08:00:00","1.52"
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635",,,,,,"1910-10-25 08:00:00","2.13"
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467",,,,,,"1966-06-27 08:00:00","11.28"
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634",,,,,,"1910-09-30 08:00:00","3.96"
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497",,,,,,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156",,,"Dip Meter","Static Water Level",,"2001-06-06 12:00:00","14.42"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Casing Collar","0.46","Dip Meter","Static Water Level",,"2014-09-18 14:41:00","24.08"
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041",,,"Dip Meter","Static Water Level",,"1990-07-03 14:02:00","5.94"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303",,,,,,,
"Dept Water - Pretoria","2525DB00092","Borehole","-25.55781","25.94965",,,,,,"1988-08-23 08:20:00","30.47"
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054",,,,"Static Water Level",,"1984-01-01 08:00:00","14.00"
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054",,,,"Static Water Level",,"1992-01-01 08:00:00","14.10"
"Dept Water - Pretoria","2525DA00101","Borehole","-25.55774","25.70506",,,,,,,
"Dept Water - Pretoria","2525DA00111","Borehole","-25.55726","25.72490",,,,"Static Water Level",,"1984-01-01 08:00:00","13.00"
"Dept Water - Pretoria","2526CA00505","Borehole","-25.55506","26.06178",,,"Dip Meter","Static Water Level",,"1990-07-05 10:08:00","14.44"
"Dept Water - Pretoria","2525DB00373","Borehole","-25.55503","25.75139",,,,"Static Water Level",,"1984-01-01 08:00:00","13.00"
"Dept Water - Pretoria","2526CA00500","Borehole","-25.55481","26.05688",,,,,,,
"Dept Water - Pretoria","2526CA00504","Borehole","-25.55453","26.06606",,,"Dip Meter","Static Water Level",,"1990-07-05 11:22:00","19.21"
"Dept Water - Pretoria","2526CA00503","Borehole","-25.55438","26.06359",,,"Dip Meter","Static Water Level",,"1990-07-05 11:05:00","23.08"
"Dept Water - Pretoria","2526CA00507","Dug Well","-25.55338","26.04883",,,,,,,
"Dept Water - Pretoria","2526CA00502","Borehole","-25.55256","26.05975",,,,,,,
"Dept Water - Pretoria","2526CA00506","Borehole","-25.55249","26.06199",,,"Dip Meter","Static Water Level",,"1990-07-05 10:56:00","14.32"
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973",,,"Dip Meter","Static Water Level",,"1990-07-05 10:26:00","9.29"
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181",,,"Dip Meter","Static Water Level",,"1990-07-04 09:54:00","17.10"
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237",,,"Dip Meter","Static Water Level",,"1990-07-04 10:02:00","16.78"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter",,,"2000-05-15 13:00:00","23.33"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-01-21 08:00:00","36.40"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-03-15 12:00:00","35.55"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-04-14 12:00:00","38.00"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-05-25 12:00:00","34.83"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-06-24 12:00:00","34.71"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-07-28 12:00:00","34.43"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-08-25 12:00:00","34.33"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-09-22 12:00:00","34.26"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-10-15 12:00:00","34.66"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-11-28 12:00:00","34.09"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1977-12-30 12:00:00","34.04"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-01-18 12:00:00","34.03"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-02-27 12:00:00","33.92"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-03-29 12:00:00","33.81"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-04-25 12:00:00","33.36"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-05-29 12:00:00","33.09"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-06-29 12:00:00","32.86"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-07-28 12:00:00","32.78"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-08-28 12:00:00","32.61"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-09-25 12:00:00","32.51"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-10-30 12:00:00","32.42"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1978-11-27 12:00:00","32.38"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-01-08 12:00:00","32.36"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-06-19 12:00:00","32.81"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-07-16 12:00:00","32.95"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-08-26 12:00:00","32.99"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-09-21 12:00:00","33.08"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-10-24 12:00:00","33.28"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-11-21 12:00:00","33.31"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1979-12-19 12:00:00","33.32"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-01-23 12:00:00","33.50"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-02-20 12:00:00","33.67"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-03-19 12:00:00","33.64"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-04-23 12:00:00","33.67"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-05-21 12:00:00","33.79"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-06-18 12:00:00","34.03"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-07-23 12:00:00","34.06"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-08-21 12:00:00","34.17"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-09-16 12:00:00","34.21"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-10-22 12:00:00","34.27"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-11-18 12:00:00","34.30"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1980-12-09 12:00:00","34.31"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-01-21 12:00:00","34.27"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-02-17 12:00:00","33.81"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-03-17 12:00:00","35.51"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-04-22 12:00:00","35.55"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-05-19 12:00:00","33.51"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-06-16 12:00:00","35.61"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-07-21 12:00:00","35.67"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-08-18 12:00:00","35.74"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-09-08 12:00:00","35.79"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-10-13 12:00:00","35.92"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-11-10 12:00:00","36.02"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1981-12-15 12:00:00","36.13"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-01-19 12:00:00","36.28"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-02-17 12:00:00","36.38"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-03-16 12:00:00","36.54"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-04-29 12:00:00","36.77"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-05-18 12:00:00","36.85"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-06-22 12:00:00","36.97"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-07-21 12:00:00","37.08"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-08-17 12:00:00","37.15"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-09-21 12:00:00","37.37"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-10-12 12:00:00","37.31"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-11-09 12:00:00","37.42"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1982-12-14 12:00:00","37.56"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-01-11 12:00:00","37.59"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-02-09 12:00:00","37.79"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-03-10 12:00:00","37.89"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-04-11 12:00:00","38.05"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-05-15 12:00:00","38.22"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-06-15 12:00:00","38.39"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-07-14 12:00:00","38.52"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-08-15 12:00:00","38.63"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-09-15 12:00:00","38.81"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-10-25 12:00:00","39.01"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-11-16 12:00:00","39.10"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1983-12-13 12:00:00","39.29"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-01-17 12:00:00","39.52"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-02-14 12:00:00","39.73"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-03-13 12:00:00","39.88"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-04-12 12:00:00","40.02"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-05-15 12:00:00","38.29"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-06-15 12:00:00","40.39"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-07-17 12:00:00","40.73"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-08-02 12:00:00","40.75"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-09-05 12:00:00","40.90"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-10-01 12:00:00","41.16"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-11-02 12:00:00","41.37"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1984-12-04 12:00:00","41.66"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-01-08 12:00:00","41.85"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-03-15 12:00:00","42.50"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-04-12 12:00:00","42.17"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-05-07 12:00:00","42.91"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-06-03 12:00:00","43.10"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-07-03 12:00:00","43.32"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-08-01 12:00:00","43.57"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-08-29 12:00:00","43.74"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-09-30 12:00:00","44.44"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-10-28 12:00:00","44.20"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-11-28 12:00:00","44.39"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516",,,"Dip Meter","Static Water Level",,"1985-12-30 12:00:00","44.89"
